2021-01-29 08:50:56 startup archives install
2021-01-29 08:50:56 install base-passwd:armhf <none> 3.5.37
2021-01-29 08:50:56 status half-installed base-passwd:armhf 3.5.37
2021-01-29 08:50:56 status unpacked base-passwd:armhf 3.5.37
2021-01-29 08:50:56 status unpacked base-passwd:armhf 3.5.37
2021-01-29 08:50:56 configure base-passwd:armhf 3.5.37 3.5.37
2021-01-29 08:50:56 status unpacked base-passwd:armhf 3.5.37
2021-01-29 08:50:56 status half-configured base-passwd:armhf 3.5.37
2021-01-29 08:50:57 status installed base-passwd:armhf 3.5.37
2021-01-29 08:50:58 startup archives install
2021-01-29 08:50:58 install base-files:armhf <none> 8+deb8u11
2021-01-29 08:50:58 status half-installed base-files:armhf 8+deb8u11
2021-01-29 08:50:58 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:50:58 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:50:58 configure base-files:armhf 8+deb8u11 8+deb8u11
2021-01-29 08:50:58 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:50:58 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:50:58 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:50:58 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:50:58 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:50:58 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:50:58 status half-configured base-files:armhf 8+deb8u11
2021-01-29 08:51:00 status installed base-files:armhf 8+deb8u11
2021-01-29 08:51:00 startup archives install
2021-01-29 08:51:00 upgrade dpkg 1.17.27 1.17.27
2021-01-29 08:51:00 status half-configured dpkg 1.17.27
2021-01-29 08:51:00 status unpacked dpkg 1.17.27
2021-01-29 08:51:00 status half-installed dpkg 1.17.27
2021-01-29 08:51:01 status half-installed dpkg 1.17.27
2021-01-29 08:51:01 status unpacked dpkg 1.17.27
2021-01-29 08:51:01 status unpacked dpkg 1.17.27
2021-01-29 08:51:01 configure dpkg 1.17.27 1.17.27
2021-01-29 08:51:01 status unpacked dpkg 1.17.27
2021-01-29 08:51:01 status unpacked dpkg 1.17.27
2021-01-29 08:51:01 status unpacked dpkg 1.17.27
2021-01-29 08:51:01 status unpacked dpkg 1.17.27
2021-01-29 08:51:01 status unpacked dpkg 1.17.27
2021-01-29 08:51:01 status half-configured dpkg 1.17.27
2021-01-29 08:51:01 status installed dpkg 1.17.27
2021-01-29 08:51:01 startup archives install
2021-01-29 08:51:01 install libc6:armhf <none> 2.19-18+deb8u10
2021-01-29 08:51:01 status half-installed libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:02 status unpacked libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:02 status unpacked libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:02 configure libc6:armhf 2.19-18+deb8u10 2.19-18+deb8u10
2021-01-29 08:51:02 status unpacked libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:02 status unpacked libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:02 status half-configured libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:04 status installed libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:04 startup archives install
2021-01-29 08:51:04 install perl-base:armhf <none> 5.20.2-3+deb8u11
2021-01-29 08:51:04 status half-installed perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:06 status unpacked perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:06 status unpacked perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:06 configure perl-base:armhf 5.20.2-3+deb8u11 5.20.2-3+deb8u11
2021-01-29 08:51:06 status unpacked perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:06 status half-configured perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:06 status installed perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:06 startup archives install
2021-01-29 08:51:06 install mawk:armhf <none> 1.3.3-17
2021-01-29 08:51:06 status half-installed mawk:armhf 1.3.3-17
2021-01-29 08:51:06 status unpacked mawk:armhf 1.3.3-17
2021-01-29 08:51:06 status unpacked mawk:armhf 1.3.3-17
2021-01-29 08:51:06 configure mawk:armhf 1.3.3-17 1.3.3-17
2021-01-29 08:51:06 status unpacked mawk:armhf 1.3.3-17
2021-01-29 08:51:06 status half-configured mawk:armhf 1.3.3-17
2021-01-29 08:51:06 status installed mawk:armhf 1.3.3-17
2021-01-29 08:51:06 startup archives install
2021-01-29 08:51:06 install debconf:all <none> 1.5.56+deb8u1
2021-01-29 08:51:06 status half-installed debconf:all 1.5.56+deb8u1
2021-01-29 08:51:07 status unpacked debconf:all 1.5.56+deb8u1
2021-01-29 08:51:07 status unpacked debconf:all 1.5.56+deb8u1
2021-01-29 08:51:07 configure debconf:all 1.5.56+deb8u1 1.5.56+deb8u1
2021-01-29 08:51:07 status unpacked debconf:all 1.5.56+deb8u1
2021-01-29 08:51:07 status unpacked debconf:all 1.5.56+deb8u1
2021-01-29 08:51:07 status unpacked debconf:all 1.5.56+deb8u1
2021-01-29 08:51:07 status unpacked debconf:all 1.5.56+deb8u1
2021-01-29 08:51:07 status half-configured debconf:all 1.5.56+deb8u1
2021-01-29 08:51:08 status installed debconf:all 1.5.56+deb8u1
2021-01-29 08:51:09 startup archives unpack
2021-01-29 08:51:09 install acl:armhf <none> 2.2.52-2
2021-01-29 08:51:09 status half-installed acl:armhf 2.2.52-2
2021-01-29 08:51:09 status unpacked acl:armhf 2.2.52-2
2021-01-29 08:51:09 status unpacked acl:armhf 2.2.52-2
2021-01-29 08:51:09 install libacl1:armhf <none> 2.2.52-2
2021-01-29 08:51:09 status half-installed libacl1:armhf 2.2.52-2
2021-01-29 08:51:10 status unpacked libacl1:armhf 2.2.52-2
2021-01-29 08:51:10 status unpacked libacl1:armhf 2.2.52-2
2021-01-29 08:51:10 install adduser:all <none> 3.113+nmu3
2021-01-29 08:51:10 status half-installed adduser:all 3.113+nmu3
2021-01-29 08:51:10 status unpacked adduser:all 3.113+nmu3
2021-01-29 08:51:10 status unpacked adduser:all 3.113+nmu3
2021-01-29 08:51:10 install libattr1:armhf <none> 1:2.4.47-2
2021-01-29 08:51:10 status half-installed libattr1:armhf 1:2.4.47-2
2021-01-29 08:51:10 status unpacked libattr1:armhf 1:2.4.47-2
2021-01-29 08:51:10 status unpacked libattr1:armhf 1:2.4.47-2
2021-01-29 08:51:10 install libaudit-common:all <none> 1:2.4-1
2021-01-29 08:51:10 status half-installed libaudit-common:all 1:2.4-1
2021-01-29 08:51:10 status unpacked libaudit-common:all 1:2.4-1
2021-01-29 08:51:10 status unpacked libaudit-common:all 1:2.4-1
2021-01-29 08:51:11 install libaudit1:armhf <none> 1:2.4-1+b1
2021-01-29 08:51:11 status half-installed libaudit1:armhf 1:2.4-1+b1
2021-01-29 08:51:11 status unpacked libaudit1:armhf 1:2.4-1+b1
2021-01-29 08:51:11 status unpacked libaudit1:armhf 1:2.4-1+b1
2021-01-29 08:51:11 upgrade base-files:armhf 8+deb8u11 8+deb8u11
2021-01-29 08:51:11 status half-configured base-files:armhf 8+deb8u11
2021-01-29 08:51:11 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:51:11 status half-installed base-files:armhf 8+deb8u11
2021-01-29 08:51:11 status half-installed base-files:armhf 8+deb8u11
2021-01-29 08:51:11 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:51:11 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:51:11 upgrade base-passwd:armhf 3.5.37 3.5.37
2021-01-29 08:51:11 status half-configured base-passwd:armhf 3.5.37
2021-01-29 08:51:11 status unpacked base-passwd:armhf 3.5.37
